From	To
LCLT1_MOUSE	Lclat1
CAN13_MOUSE	Capn13
GLT14_MOUSE	Galnt14
EHD3_MOUSE	Ehd3
XDH_MOUSE	Xdh
S5A2_MOUSE	Srd5a2
MEMO1_MOUSE	Memo1
SPAST_MOUSE	Spast
ZNT6_MOUSE	Slc30a6
NLRC4_MOUSE	Nlrc4
YIPF4_MOUSE	Yipf4
BIRC6_MOUSE	Birc6
TTC27_MOUSE	Ttc27
LTBP1_MOUSE	Ltbp1
FA98A_MOUSE	Fam98a
GCKR_MOUSE	Gckr
AGRF3_MOUSE	ADGRF3
ECHB_MOUSE	Hadhb
ECHA_MOUSE	Hadha
GARE2_MOUSE	Garem2
RAB10_MOUSE	Rab10
KIF3C_MOUSE	Kif3c
DTNB_MOUSE	Dtnb
DNM3A_MOUSE	Dnmt3a
COLI_MOUSE	Pomc
EFR3B_MOUSE	Efr3b
DJC27_MOUSE	Dnajc27
ADCY3_MOUSE	Adcy3
CENPO_MOUSE	Cenpo
PTRD1_MOUSE	Ptrhd1
NCOA1_MOUSE	Ncoa1
ITSN2_MOUSE	Itsn2
F228B_MOUSE	Fam228b
SF3B6_MOUSE	Sf3b6
FKB1B_MOUSE	Fkbp1b
CRIM1_MOUSE	Crim1
FEZ2_MOUSE	Fez2
VITRN_MOUSE	Vit
STRN_MOUSE	Strn
HTR5B_MOUSE	Heatr5b
GPT11_MOUSE	Gpatch11
E2AK2_MOUSE	Eif2ak2
ST6B1_MOUSE	Sult6b1
NDUF7_MOUSE	Ndufaf7
KPCD3_MOUSE	Prkd3
QPCT_MOUSE	Qpct
BORG2_MOUSE	Cdc42ep3
RMD2_MOUSE	Rmdn2
CP1B1_MOUSE	Cyp1b1
ATLA2_MOUSE	Atl2
GALM_MOUSE	Galm
SRSF7_MOUSE	Srsf7
TT39B_MOUSE	Ttc39b
GEMI6_MOUSE	Gemin6
DHX57_MOUSE	Dhx57
ARG33_MOUSE	Arhgef33
SOS1_MOUSE	Sos1
CDKL4_MOUSE	Cdkl4
M4K3_MOUSE	Map4k3
THUM2_MOUSE	Thumpd2
NAC1_MOUSE	Slc8a1
PKDCC_MOUSE	Pkdcc
EMAL4_MOUSE	Eml4
COX7R_MOUSE	Cox7a2l
KCNG3_MOUSE	Kcng3
MTA3_MOUSE	Mta3
3HAO_MOUSE	Haao
TISD_MOUSE	Zfp36l2
THADA_MOUSE	Thada
PKHH2_MOUSE	Plekhh2
DC2L1_MOUSE	Dync2li1
ABCG5_MOUSE	Abcg5
ABCG8_MOUSE	Abcg8
LPPRC_MOUSE	Lrpprc
PPM1B_MOUSE	Ppm1b
SLC31_MOUSE	Slc3a1
PPCEL_MOUSE	Prepl
CMKMT_MOUSE	Camkmt
SIX3_MOUSE	Six3
SIX2_MOUSE	Six2
SRBD1_MOUSE	Srbd1
KPCE_MOUSE	Prkce
EPAS1_MOUSE	Epas1
TM247_MOUSE	Tmem247
VATE2_MOUSE	Atp6v1e2
RHOQ_MOUSE	Rhoq
SOCS5_MOUSE	Socs5
MCFD2_MOUSE	Mcfd2
ARC1B_MOUSE	Arpc1b
TTC7A_MOUSE	Ttc7a
EPCAM_MOUSE	Epcam
MSH2_MOUSE	Msh2
MSH6_MOUSE	Msh6
FBX11_MOUSE	Fbxo11
PPR21_MOUSE	Ppp1r21
STON1_MOUSE	Ston1
TF2AY_MOUSE	Gtf2a1l
LSHR_MOUSE	Lhcgr
FSHR_MOUSE	Fshr
NRX1B_MOUSE	Nrxn1
NRX1A_MOUSE	Nrxn1
HERC6_MOUSE	Herc6
PPM1K_MOUSE	Ppm1k
GARS_MOUSE	Gars
CRFR2_MOUSE	Crhr2
INMT_MOUSE	Inmt
MINY4_MOUSE	Mindy4
AQP1_MOUSE	Aqp1
GHRHR_MOUSE	Ghrhr
PACR_MOUSE	Adcyap1r1
NDF6_MOUSE	Neurod6
ITPI1_MOUSE	Itprid1
AVL9_MOUSE	Avl9
FNDC4_MOUSE	Fndc4
FKBP9_MOUSE	Fkbp9
5NT3A_MOUSE	Nt5c3a
V1R48_MOUSE	Vmn1r48
V1R53_MOUSE	Vmn1r53
VOPP1_MOUSE	Vopp1
LANC2_MOUSE	Lancl2
PREY_MOUSE	Pyurf
CP4FE_MOUSE	Cyp4f14
OLF8_MOUSE	Olfr8
EAA4_MOUSE	Slc1a6
CC105_MOUSE	Ccdc105
NOTC3_MOUSE	Notch3
EPHX3_MOUSE	Ephx3
AKAP8_MOUSE	Akap8
AKP8L_MOUSE	Akap8l
PGRP2_MOUSE	Pglyrp2
CUL4B_MOUSE	Cul4b
MOR2B_MOUSE	Morc2b
F110C_MOUSE	Fam110c
SH3Y1_MOUSE	Sh3yl1
ALKL2_MOUSE	Alkal2
TMM18_MOUSE	Tmem18
SNTG2_MOUSE	Sntg2
PERT_MOUSE	Tpo
PXDN_MOUSE	Pxdn
MYT1L_MOUSE	Myt1l
EIPR1_MOUSE	Eipr1
TPC12_MOUSE	Trappc12
RNH1_MOUSE	Rnaseh1
COL11_MOUSE	Colec11
ALLC_MOUSE	Allc
DCD2C_MOUSE	Dcdc2c
SOX11_MOUSE	Sox11
CMPK2_MOUSE	Cmpk2
RSAD2_MOUSE	Rsad2
R144A_MOUSE	Rnf144a
ID2_MOUSE	Id2
MBOA2_MOUSE	Mboat2
ASAP2_MOUSE	Asap2
ITBP1_MOUSE	Itgb1bp1
CPSF3_MOUSE	Cpsf3
IAH1_MOUSE	Iah1
ADA17_MOUSE	Adam17
TAF1B_MOUSE	Taf1b
GRHL1_MOUSE	Grhl1
KLF11_MOUSE	Klf11
CYS1_MOUSE	Cys1
HPCL1_MOUSE	Hpcal1
NOL10_MOUSE	Nol10
PDIA6_MOUSE	Pdia6
KCNF1_MOUSE	Kcnf1
PQLC3_MOUSE	Pqlc3
ROCK2_MOUSE	Rock2
GREB1_MOUSE	Greb1
NTR2_MOUSE	Ntsr2
LPIN1_MOUSE	Lpin1
TRIB2_MOUSE	Trib2
DDX1_MOUSE	Ddx1
MYCN_MOUSE	Mycn
FA49A_MOUSE	Fam49a
TIM8A_MOUSE	Timm8a1
VISL1_MOUSE	Vsnl1
SMC6_MOUSE	Smc6
GEN_MOUSE	Gen1
MSGN1_MOUSE	Msgn1
KCNS3_MOUSE	Kcns3
RDH14_MOUSE	Rdh14
5NT1B_MOUSE	Nt5c1b
OSR1_MOUSE	Osr1
TTC32_MOUSE	Ttc32
WDR35_MOUSE	Wdr35
SDC1_MOUSE	Sdc1
PUM2_MOUSE	Pum2
RHOB_MOUSE	Rhob
H1BP3_MOUSE	Hs1bp3
LDAH_MOUSE	Ldah
GDF7_MOUSE	Gdf7
APOB_MOUSE	Apob
CBR1_MOUSE	Cbr1
KLH29_MOUSE	Klhl29
UBX2A_MOUSE	Ubxn2a
MFS2B_MOUSE	Mfsd2b
WDCP_MOUSE	Wdcp
ABCG2_MOUSE	Abcg2
NP1L5_MOUSE	Nap1l5
FA13A_MOUSE	Fam13a
TIGD2_MOUSE	Tigd2
GRIN3_MOUSE	Gprin3
SYUA_MOUSE	Snca
MMRN1_MOUSE	Mmrn1
CCSE1_MOUSE	Ccser1
GRID2_MOUSE	Grid2
ATOH1_MOUSE	Atoh1
SMRCD_MOUSE	Smarcad1
TNIP1_MOUSE	Tnip1
NDNF_MOUSE	Ndnf
PRDM5_MOUSE	Prdm5
MD2L1_MOUSE	Mad2l1
V1A11_MOUSE	V1ra11
GA45A_MOUSE	Gadd45a
I12R2_MOUSE	Il12rb2
IL23R_MOUSE	Il23r
TACD2_MOUSE	Tacstd2
KV1A1_MOUSE	Igkv7-33
KV5A1_MOUSE	Igk-V19-17
IGKC_MOUSE	Igkc
RPIA_MOUSE	Rpia
E2AK3_MOUSE	Eif2ak3
TEX37_MOUSE	Tex37
THNS2_MOUSE	Thnsl2
FABPL_MOUSE	Fabp1
SMYD1_MOUSE	Smyd1
KRCC1_MOUSE	Krcc1
CD8B_MOUSE	Cd8b
RMD5A_MOUSE	Rmnd5a
RN103_MOUSE	Rnf103
CHMP3_MOUSE	Chmp3
KDM3A_MOUSE	Kdm3a
REEP1_MOUSE	Reep1
MIC60_MOUSE	Immt
PTCD3_MOUSE	Ptcd3
RPA1_MOUSE	Polr1a
HMGB3_MOUSE	Hmgb3
SIAT9_MOUSE	St3gal5
ATOH8_MOUSE	Atoh8
PSPB_MOUSE	Sftpb
SNUT2_MOUSE	Usp39
T150A_MOUSE	Tmem150a
RN181_MOUSE	Rnf181
VAMP5_MOUSE	Vamp5
VAMP8_MOUSE	Vamp8
VKGC_MOUSE	Ggcx
METK2_MOUSE	Mat2a
SH2D6_MOUSE	Sh2d6
CAPG_MOUSE	Capg
ELMD3_MOUSE	Elmod3
RETST_MOUSE	Retsat
TGON1_MOUSE	Tgoln1
TF7L1_MOUSE	Tcf7l1
KCMF1_MOUSE	Kcmf1
SUCA_MOUSE	Suclg1
BT3L4_MOUSE	Btf3l4
LRRT1_MOUSE	Lrrtm1
REG3B_MOUSE	Reg3b
LIT2_MOUSE	Reg2
REG3G_MOUSE	Reg3g
CEL2A_MOUSE	Cela2a
LRRT4_MOUSE	Lrrtm4
GCFC2_MOUSE	Gcfc2
EVA1A_MOUSE	Eva1a
NK1R_MOUSE	Tacr1
HXK2_MOUSE	Hk2
SEM4F_MOUSE	Sema4f
M1AP_MOUSE	M1ap
DOK1_MOUSE	Dok1
LOXL3_MOUSE	Loxl3
HTRA2_MOUSE	Htra2
DQX1_MOUSE	Dqx1
MOGS_MOUSE	Mogs
WBP1_MOUSE	Wbp1
RTKN_MOUSE	Rtkn
WDR54_MOUSE	Wdr54
DCTN1_MOUSE	Dctn1
MTDC_MOUSE	Mthfd2
MOB1A_MOUSE	Mob1a
TET3_MOUSE	Tet3
DGUOK_MOUSE	Dguok
ACTH_MOUSE	Actg2
F151A_MOUSE	Fam151a
DUS11_MOUSE	Dusp11
NAT8B_MOUSE	Nat8b-ps
NAT8_MOUSE	Nat8
NT8F7_MOUSE	Nat8f7
ALMS1_MOUSE	Alms1
EGR4_MOUSE	Egr4
FBX41_MOUSE	Fbxo41
TCPH_MOUSE	Cct7
PADC1_MOUSE	Pradc1
SMYD5_MOUSE	Smyd5
NOTO_MOUSE	Noto
RFIP5_MOUSE	Rab11fip5
SFXN5_MOUSE	Sfxn5
EMX1_MOUSE	Emx1
SPRE_MOUSE	Spr
EXC6B_MOUSE	Exoc6b
CP26B_MOUSE	Cyp26b1
DYSF_MOUSE	Dysf
ZN638_MOUSE	Znf638
PAI2B_MOUSE	Paip2b
NAGK_MOUSE	Nagk
TX261_MOUSE	Tex261
CLC4K_MOUSE	Cd207
CLC4F_MOUSE	Clec4f
FIGLA_MOUSE	Figla
ADDB_MOUSE	Add2
TGFA_MOUSE	Tgfa
F136A_MOUSE	Fam136a
PCYOX_MOUSE	Pcyox1
PCBP1_MOUSE	Pcbp1
APRV1_MOUSE	Asprv1
MAD1_MOUSE	Mxd1
GMCL1_MOUSE	Gmcl1
ANXA4_MOUSE	Anxa4
AAK1_MOUSE	Aak1
NFU1_MOUSE	Nfu1
GFPT1_MOUSE	Gfpt1
ANTR1_MOUSE	Antxr1
GKN1_MOUSE	Gkn1
GKN2_MOUSE	Gkn2
GKN3_MOUSE	Gkn3
BMP10_MOUSE	Bmp10
RHG25_MOUSE	Arhgap25
PKR1_MOUSE	Prokr1
APLF_MOUSE	Aplf
EFCC1_MOUSE	Efcc1
GPIX_MOUSE	Gp9
RAB43_MOUSE	Rab43
ISY1_MOUSE	Isy1
CNBP_MOUSE	Cnbp
COPG1_MOUSE	Copg1
HMCES_MOUSE	Hmces
RAB7A_MOUSE	Rab7a
RPN1_MOUSE	Rpn1
GATA2_MOUSE	Gata2
DNJB8_MOUSE	Dnajb8
SELB_MOUSE	Eefsec
RUVB1_MOUSE	Ruvbl1
S61A1_MOUSE	Sec61a1
KBTBC_MOUSE	Kbtbd12
MGLL_MOUSE	Mgll
ABTB1_MOUSE	Abtb1
MCM2_MOUSE	Mcm2
TPRA1_MOUSE	Tpra1
PLXA1_MOUSE	Plxna1
MIC25_MOUSE	Chchd6
TRXR3_MOUSE	Txnrd3
V1R47_MOUSE	Vmn1r47
CHSTB_MOUSE	Chst11
HUTU_MOUSE	Uroc1
ZXDC_MOUSE	Zxdc
CP100_MOUSE	Cfap100
KLF15_MOUSE	Klf15
AL1L1_MOUSE	Aldh1l1
IQEC1_MOUSE	Iqsec1
IQEC2_MOUSE	Iqsec2
PO210_MOUSE	Nup210
HDA11_MOUSE	Hdac11
FBLN2_MOUSE	Fbln2
WNT7A_MOUSE	Wnt7a
MIA40_MOUSE	Chchd4
TMM43_MOUSE	Tmem43
XPC_MOUSE	Xpc
SC6A6_MOUSE	Slc6a6
GRIP1_MOUSE	Grip1
CC174_MOUSE	Ccdc174
FGD5_MOUSE	Fgd5
RT25_MOUSE	Mrps25
RBNS5_MOUSE	Rbsn
TRH_MOUSE	Trh
PRIC2_MOUSE	Prickle2
MAGI1_MOUSE	Magi1
LRIG1_MOUSE	Lrig1
SUCB2_MOUSE	Suclg2
TMF1_MOUSE	Tmf1
UBA3_MOUSE	Uba3
PRAF3_MOUSE	Arl6ip5
LMOD3_MOUSE	Lmod3
FRM4B_MOUSE	Frmd4b
MITF_MOUSE	Mitf
FOXP1_MOUSE	Foxp1
IF4E3_MOUSE	Eif4e3
GPR27_MOUSE	Gpr27
RYBP_MOUSE	Rybp
SHQ1_MOUSE	Shq1
GXLT2_MOUSE	Gxylt2
PP4R2_MOUSE	Ppp4r2
CNTN3_MOUSE	Cntn3
NCHL1_MOUSE	Chl1
CNTN6_MOUSE	Cntn6
CNTN4_MOUSE	Cntn4
IL5RA_MOUSE	Il5ra
TRNT1_MOUSE	Trnt1
CRBN_MOUSE	Crbn
SETMR_MOUSE	Setmar
SUMF1_MOUSE	Sumf1
ITPR1_MOUSE	Itpr1
BHE40_MOUSE	Bhlhe40
ARL8B_MOUSE	Arl8b
EDEM1_MOUSE	Edem1
GRM7_MOUSE	Grm7
IRAK1_MOUSE	Irak1
LMCD1_MOUSE	Lmcd1
SSUH2_MOUSE	Ssuh2
CAV3_MOUSE	Cav3
OXYR_MOUSE	Oxtr
RAD18_MOUSE	Rad18
SRGP3_MOUSE	Srgap3
THUM3_MOUSE	Thumpd3
SETD5_MOUSE	Setd5
LHPL4_MOUSE	Lhfpl4
MTMRE_MOUSE	Mtmr14
CPNE9_MOUSE	Cpne9
OGG1_MOUSE	Ogg1
KCC1A_MOUSE	Camk1
TADA3_MOUSE	Tada3
TTLL3_MOUSE	Ttll3
RUSD3_MOUSE	Rpusd3
CIDEC_MOUSE	Cidec
JAGN1_MOUSE	Jagn1
I17RE_MOUSE	Il17re
CREL1_MOUSE	Creld1
PRRT3_MOUSE	Prrt3
EMC3_MOUSE	Emc3
FACD2_MOUSE	Fancd2
FACOS_MOUSE	Fancd2os
VHL_MOUSE	Vhl
IRAK2_MOUSE	Irak2
AT2B2_MOUSE	Atp2b2
S6A11_MOUSE	Slc6a11
SC6A1_MOUSE	Slc6a1
HRH1_MOUSE	Hrh1
ATG7_MOUSE	Atg7
VGLL4_MOUSE	Vgll4
TAM41_MOUSE	Tamm41
TIMP4_MOUSE	Timp4
PPARG_MOUSE	Pparg
SEN2_MOUSE	Tsen2
MKRN2_MOUSE	Mkrn2
RAF1_MOUSE	Raf1
TMM40_MOUSE	Tmem40
CAND2_MOUSE	Cand2
MBD4_MOUSE	Mbd4
IF122_MOUSE	Ift122
OPSD_MOUSE	Rho
H1FOO_MOUSE	H1foo
PLXD1_MOUSE	Plxnd1
TMCC1_MOUSE	Tmcc1
WASC2_MOUSE	Washc2
ZFAN4_MOUSE	Zfand4
MARH8_MOUSE	March8
LOX5_MOUSE	Alox5
ZNF22_MOUSE	Znf22
RASF4_MOUSE	Rassf4
TMM72_MOUSE	Tmem72
SDF1_MOUSE	Cxcl12
ZNF32_MOUSE	Znf32
HNRPF_MOUSE	Hnrnpf
CGAT2_MOUSE	Csgalnact2
RET_MOUSE	Ret
ZNF12_MOUSE	Znf12
CAC1C_MOUSE	Cacna1c
DCP1B_MOUSE	Dcp1b
CA2D4_MOUSE	Cacna2d4
LRTM2_MOUSE	Lrtm2
PAQR2_MOUSE	Adipor2
WNT5B_MOUSE	Wnt5b
FXL14_MOUSE	Fbxl14
RB6I2_MOUSE	Erc1
RAD52_MOUSE	Rad52
WNK1_MOUSE	Wnk1
NINJ2_MOUSE	Ninj2
B4GN3_MOUSE	B4galnt3
CCD77_MOUSE	Ccdc77
KDM5A_MOUSE	Kdm5a
T121B_MOUSE	Tmem121b
HDHD5_MOUSE	Hdhd5
CECR2_MOUSE	Cecr2
B2L13_MOUSE	Bcl2l13
BID_MOUSE	Bid
MICA3_MOUSE	Mical3
TBA8_MOUSE	Tuba8
S6A12_MOUSE	Slc6a12
IQEC3_MOUSE	Iqsec3
A2MG_MOUSE	A2m
MUG1_MOUSE	Mug1
KLRG1_MOUSE	Klrg1
MPRD_MOUSE	M6pr
PHC1_MOUSE	Phc1
OVOS_MOUSE	Ovos
RIMKB_MOUSE	Rimklb
MFAP5_MOUSE	Mfap5
AICDA_MOUSE	Aicda
ABEC1_MOUSE	Apobec1
GDF3_MOUSE	Gdf3
DPPA3_MOUSE	Dppa3
GTR3_MOUSE	Slc2a3
FOXJ2_MOUSE	Foxj2
C3AR_MOUSE	C3ar1
NECP1_MOUSE	Necap1
CLC6A_MOUSE	Clec6a
CLC4E_MOUSE	Clec4e
PEX5_MOUSE	Pex5
CSTN3_MOUSE	Clstn3
C1RL_MOUSE	C1rl
C1RA_MOUSE	C1ra
CS1A_MOUSE	C1sa
MYL6B_MOUSE	Myl6b
MBOA5_MOUSE	Lpcat3
PHB2_MOUSE	Phb2
PTN6_MOUSE	Ptpn6
C10_MOUSE	Grcc10
ATN1_MOUSE	Atn1
ENOG_MOUSE	Eno2
LRC23_MOUSE	Lrrc23
SPSB2_MOUSE	Spsb2
UBP5_MOUSE	Usp5
CDCA3_MOUSE	Cdca3
GBB3_MOUSE	Gnb3
P3H3_MOUSE	P3h3
GP162_MOUSE	Gpr162
CD4_MOUSE	Cd4
MLF2_MOUSE	Mlf2
CSN7A_MOUSE	Cops7a
PIANP_MOUSE	Pianp
ACRBP_MOUSE	Acrbp
LPAR5_MOUSE	Lpar5
CHD4_MOUSE	Chd4
NOP2_MOUSE	Nop2
IFFO1_MOUSE	Iffo1
CND1_MOUSE	Ncapd2
RM51_MOUSE	Mrpl51
VAMP1_MOUSE	Vamp1
CD27_MOUSE	Cd27
TNR3_MOUSE	Ltbr
SCNNA_MOUSE	Scnn1a
PKHG6_MOUSE	Plekhg6
CD9_MOUSE	Cd9
VWF_MOUSE	Vwf
ANO2_MOUSE	Ano2
NTF3_MOUSE	Ntf3
KCNA5_MOUSE	Kcna5
KCNA1_MOUSE	Kcna1
KCNA6_MOUSE	Kcna6
NDUA9_MOUSE	Ndufa9
AKAP3_MOUSE	Akap3
DYRK4_MOUSE	Dyrk4
CL004_MOUSE	D6Wsu163e
FGF23_MOUSE	Fgf23
TIGAR_MOUSE	Tigar
CCND2_MOUSE	Ccnd2
PAR11_MOUSE	Parp11
EFC4B_MOUSE	Cracr2a
ANM8_MOUSE	Prmt8
TSN11_MOUSE	Tspan11
TSN9_MOUSE	Tspan9
TEAD4_MOUSE	Tead4
TULP3_MOUSE	Tulp3
FOXM1_MOUSE	Foxm1
TEX52_MOUSE	Tex52
ITFG2_MOUSE	Itfg2
FKBP4_MOUSE	Fkbp4
PZP_MOUSE	Pzp
KLRBA_MOUSE	Klrb1a
KRBBA_MOUSE	Klrb1b
CLC2E_MOUSE	Clec2e
CLC2F_MOUSE	Clec2f
KLRBF_MOUSE	Klrb1f
CLC2H_MOUSE	Clec2h
CLC2D_MOUSE	Clec2d
CLC2G_MOUSE	Clec2g
CD69_MOUSE	Cd69
CL12A_MOUSE	Clec12a
CL12B_MOUSE	Clec12b
CLC1B_MOUSE	Clec1b
CLC1A_MOUSE	Clec1a
OLR1_MOUSE	Olr1
TM52B_MOUSE	Tmem52b
GBRL1_MOUSE	Gabarapl1
KLRE1_MOUSE	Klre1
NKG2D_MOUSE	Klrk1
KLRA2_MOUSE	Klra2
KLRA4_MOUSE	Klra4
KLRA1_MOUSE	Klra1
MGN2_MOUSE	Magohb
STYK1_MOUSE	Styk1
YBOX3_MOUSE	Ybx3
TR116_MOUSE	Tas2r116
TR125_MOUSE	Tas2r125
PG12A_MOUSE	Pla2g12a
ETV6_MOUSE	Etv6
B2L14_MOUSE	Bcl2l14
MANS1_MOUSE	Mansc1
BORC5_MOUSE	Borcs5
CRBL2_MOUSE	Crebl2
GPR19_MOUSE	Gpr19
CDN1B_MOUSE	Cdkn1b
SF3B4_MOUSE	Sf3b4
DDX47_MOUSE	Ddx47
RAI3_MOUSE	Gprc5a
GPC5D_MOUSE	Gprc5d
HEBP1_MOUSE	Hebp1
F234B_MOUSE	Fam234b
GSG1_MOUSE	Gsg1
PEBP1_MOUSE	Pebp1
EMP1_MOUSE	Emp1
NMDE2_MOUSE	Grin2b
MCAF1_MOUSE	Atf7ip
PLBL1_MOUSE	Plbd1
GUC2C_MOUSE	Gucy2c
H2AJ_MOUSE	H2afj
WBP11_MOUSE	Wbp11
SMCO3_MOUSE	Smco3
NAR4_MOUSE	Art4
ERP27_MOUSE	Erp27
GDIR2_MOUSE	Arhgdib
CNCG_MOUSE	Pde6h
RERG_MOUSE	Rerg
PTPRO_MOUSE	Ptpro
EPS8_MOUSE	Eps8
S15A5_MOUSE	Slc15a5
MGST1_MOUSE	Mgst1
LMO3_MOUSE	Lmo3
IGB1B_MOUSE	Igbp1b
TF3A_MOUSE	Gtf3a
P3C2G_MOUSE	Pik3c2g
PLCZ1_MOUSE	Plcz1
CAZA3_MOUSE	Capza3
AEBP2_MOUSE	Aebp2
PDE3A_MOUSE	Pde3a
SO1C1_MOUSE	Slco1c1
SO1B2_MOUSE	Slco1b2
SO1A5_MOUSE	Slco1a5
FOXO1_MOUSE	Foxo1
SO1A4_MOUSE	Slco1a4
IAPP_MOUSE	Iapp
PYRD1_MOUSE	Pyroxd1
RECQ1_MOUSE	Recql
GOT1B_MOUSE	Golt1b
GYS2_MOUSE	Gys2
KCNJ8_MOUSE	Kcnj8
ABCC9_MOUSE	Abcc9
NEUA_MOUSE	Cmas
SIA8A_MOUSE	St8sia1
C2CD5_MOUSE	C2cd5
EKI1_MOUSE	Etnk1
SOX5_MOUSE	Sox5
BCAT1_MOUSE	Bcat1
LRMP_MOUSE	Lrmp
CASC1_MOUSE	Casc1
LMTD1_MOUSE	Lmntd1
RASF8_MOUSE	Rassf8
BHE41_MOUSE	Bhlhe41
SSPN_MOUSE	Sspn
ITPR2_MOUSE	Itpr2
INT13_MOUSE	IntS13
FGOP2_MOUSE	Fgfr1op2
TM7S3_MOUSE	Tm7sf3
MED21_MOUSE	Med21
BMAL2_MOUSE	Arntl2
SMCO2_MOUSE	Smco2
LIPB1_MOUSE	Ppfibp1
REP15_MOUSE	Rep15
RT35_MOUSE	Mrps35
MANS4_MOUSE	Mansc4
KLH42_MOUSE	Klhl42
PTHR_MOUSE	Pthlh
CCD91_MOUSE	Ccdc91
FACR2_MOUSE	Far2
ERGI2_MOUSE	Ergic2
TMTC1_MOUSE	Tmtc1
IPO8_MOUSE	Ipo8
CAPR2_MOUSE	Caprin2
SHCAF_MOUSE	Sinhcaf
DEN5B_MOUSE	Dennd5b
ETKMT_MOUSE	Mettl20
BICD1_MOUSE	Bicd1
CERU_MOUSE	Cp
HPS3_MOUSE	Hps3
HLTF_MOUSE	Hltf
GLYG_MOUSE	Gyg1
CBPA3_MOUSE	Cpa3
TBL1R_MOUSE	Tbl1xr1
PSA4_MOUSE	Psma4
NLGN1_MOUSE	Nlgn1
SPT16_MOUSE	Spata16
NCEH1_MOUSE	Nceh1
TNF10_MOUSE	Tnfsf10
GHSR_MOUSE	Ghsr
FND3B_MOUSE	Fndc3b
TM212_MOUSE	Tmem212
PLD1_MOUSE	Pld1
TNIK_MOUSE	Tnik
IF5A2_MOUSE	Eif5a2
S7A14_MOUSE	Slc7a14
CLD11_MOUSE	Cldn11
SKIL_MOUSE	Skil
KPCI_MOUSE	Prkci
PHC3_MOUSE	Phc3
MCCA_MOUSE	Mccc1
SOX2_MOUSE	Sox2
TIM14_MOUSE	Dnajc19
FXR1_MOUSE	Fxr1
CCD39_MOUSE	Ccdc39
TTC14_MOUSE	Ttc14
PEX5R_MOUSE	Pex5l
UBP13_MOUSE	Usp13
NDUB5_MOUSE	Ndufb5
ACL6A_MOUSE	Actl6a
GBB4_MOUSE	Gnb4
MFN1_MOUSE	Mfn1
KCMB2_MOUSE	Kcnmb2
PK3CA_MOUSE	Pik3ca
ZMAT3_MOUSE	Zmat3
EGFEM_MOUSE	Egfem1
MEGF6_MOUSE	Megf6
MECOM_MOUSE	Mecom
ACTT3_MOUSE	Actrt3
MYNN_MOUSE	Mynn
LRC34_MOUSE	Lrrc34
LRIQ4_MOUSE	Lrriq4
DHRSX_MOUSE	Dhrsx
EXOS9_MOUSE	Exosc9
CCNA2_MOUSE	Ccna2
BBS7_MOUSE	Bbs7
TRPC3_MOUSE	Trpc3
K1109_MOUSE	Kiaa1109
ADAD1_MOUSE	Adad1
IL2_MOUSE	Il2
IL21_MOUSE	Il21
CETN4_MOUSE	Cetn4
BBS12_MOUSE	Bbs12
NUDT6_MOUSE	Nudt6
SPY1_MOUSE	Spry1
FAT4_MOUSE	Fat4
INTU_MOUSE	Intu
ADT4_MOUSE	Slc25a31
HS74L_MOUSE	Hspa4l
PLK4_MOUSE	Plk4
MFSD8_MOUSE	Mfsd8
ABD18_MOUSE	Abhd18
PGRC2_MOUSE	Pgrmc2
JADE1_MOUSE	Jade1
SCLT1_MOUSE	Sclt1
CD033_MOUSE	D3Ertd751e
MBD1_MOUSE	Mbd1
XCT_MOUSE	Slc7a11
NOCT_MOUSE	Noct
NAA15_MOUSE	Naa15
RB33B_MOUSE	Rab33b
SETD7_MOUSE	Setd7
LTC4S_MOUSE	Ltc4s
COG6_MOUSE	Cog6
LHPL6_MOUSE	Lhfpl6
NHLC3_MOUSE	Nhlrc3
PRSR1_MOUSE	Proser1
ACATN_MOUSE	Slc33a1
PLCH1_MOUSE	Plch1
NEP_MOUSE	Mme
DHX36_MOUSE	Dhx36
ARHGG_MOUSE	Arhgef16
RAP2B_MOUSE	Rap2b
P2RY1_MOUSE	P2ry1
MBNL1_MOUSE	Mbnl1
SUCR1_MOUSE	Sucnr1
AAAD_MOUSE	Aadac
IGS10_MOUSE	Igsf10
MD12L_MOUSE	Med12l
P2Y12_MOUSE	P2ry12
P2Y13_MOUSE	P2yr13
GPR87_MOUSE	Gpr87
P2Y14_MOUSE	P2ry14
GP171_MOUSE	Gpr171
SELT_MOUSE	Selenot
EIF2A_MOUSE	Eif2a
SERP1_MOUSE	Serp1
T22D3_MOUSE	Tsc22d3
PROF2_MOUSE	Pfn2
RNF13_MOUSE	Rnf13
ANKUB_MOUSE	Ankub1
COMD2_MOUSE	Commd2
WWTR1_MOUSE	Wwtr1
T4S4_MOUSE	Tm4sf4
T4S1_MOUSE	Tm4sf1
NBEA_MOUSE	Nbea
MB211_MOUSE	Mab21l1
RS3A_MOUSE	Rps3a
DCLK1_MOUSE	Dclk1
CC169_MOUSE	Ccdc169
CCNA1_MOUSE	Ccna1
SRTM1_MOUSE	Sertm1
RFXAP_MOUSE	Rfxap
SMAD9_MOUSE	Smad9
ALG5_MOUSE	Alg5
EXOS8_MOUSE	Exosc8
SP20H_MOUSE	Supt20h
POSTN_MOUSE	Postn
TRPC4_MOUSE	Trpc4
UFM1_MOUSE	Ufm1
FREM2_MOUSE	Frem2
