From	To
TE2IP_MOUSE	Terf2ip
EST2C_MOUSE	Ces2c
EST2E_MOUSE	Ces2e
EST3A_MOUSE	Ces3a
EST4A_MOUSE	Ces4a
PEBB_MOUSE	Cbfb
B3GN9_MOUSE	B3gnt9
TRADD_MOUSE	Tradd
FBXL8_MOUSE	Fbxl8
NOL3_MOUSE	Nol3
K895L_MOUSE	Kiaa0895l
EX3L1_MOUSE	Exoc3l1
E2F4_MOUSE	E2f4
ELMO3_MOUSE	Elmo3
FXL20_MOUSE	Fbxl20
TM208_MOUSE	Tmem208
FHOD1_MOUSE	Fhod1
SL9A3_MOUSE	Slc9a3
ARH40_MOUSE	Arhgef40
KCD19_MOUSE	Kctd19
LRC36_MOUSE	Lrrc36
TPPP3_MOUSE	Tppp3
ZDHC1_MOUSE	Zdhhc1
DHI2_MOUSE	Hsd11b2
VA0D1_MOUSE	Atp6v0d1
AGRP_MOUSE	Agrp
RIPR1_MOUSE	Ripor1
CTCF_MOUSE	Ctcf
CARL2_MOUSE	Carmil2
ACD_MOUSE	Acd
PAR6A_MOUSE	Pard6a
ENKD1_MOUSE	Enkd1
GFOD2_MOUSE	Gfod2
RBP10_MOUSE	Ranbp10
TXIP1_MOUSE	Tsnaxip1
CENPT_MOUSE	Cenpt
THA11_MOUSE	Thap11
NTF2_MOUSE	Nutf2
EDC4_MOUSE	Edc4
NRN1L_MOUSE	Nrn1l
PSB10_MOUSE	Psmb10
S12A4_MOUSE	Slc12a4
DPEP3_MOUSE	Dpep3
DDX28_MOUSE	Ddx28
DUS2L_MOUSE	Dus2
NFAC3_MOUSE	Nfatc3
ESRP2_MOUSE	Esrp2
PAG15_MOUSE	Pla2g15
RL40_MOUSE	Uba52
YLAT2_MOUSE	Slc7a6
S7A6O_MOUSE	Slc7a6os
ANM7_MOUSE	Prmt7
NSMA2_MOUSE	Smpd3
RL27A_MOUSE	Rpl27a
ZFP90_MOUSE	Zfp90
PSB3_MOUSE	Psmb3
CADH3_MOUSE	Cdh3
MAGB4_MOUSE	Mageb4
FUCO_MOUSE	Fuca1
CADH1_MOUSE	Cdh1
TNG6_MOUSE	Tango6
HYAS3_MOUSE	Has3
CTF8_MOUSE	Chtf8
UTP4_MOUSE	Utp4
VPS4A_MOUSE	Vps4a
COG8_MOUSE	Cog8
NIP7_MOUSE	Nip7
TMED6_MOUSE	Tmed6
TERF2_MOUSE	Terf2
CYB5B_MOUSE	Cyb5b
NFAT5_MOUSE	Nfat5
EST2A_MOUSE	Ces2a
CIA2B_MOUSE	Ciao2b
RAD_MOUSE	Rrad
CAD16_MOUSE	Cdh16
PDP1_MOUSE	Pdp1
CAH7_MOUSE	Ca7
ULA1_MOUSE	Nae1
DC1L2_MOUSE	Dync1li2
CKLF4_MOUSE	Cmtm4
CKLF3_MOUSE	Cmtm3
CLF2B_MOUSE	Cmtm2b
CKLF_MOUSE	Cklf
KITM_MOUSE	Tk2
BEAN1_MOUSE	Bean1
CADH5_MOUSE	Cdh5
CAD11_MOUSE	Cdh11
NEP1_MOUSE	Emg1
ZFR_MOUSE	Zfr
CADH8_MOUSE	Cdh8
H2AW_MOUSE	H2afy2
AATM_MOUSE	Got2
S38A7_MOUSE	Slc38a7
CNOT1_MOUSE	Cnot1
SETD6_MOUSE	Setd6
GEMI8_MOUSE	Gemin8
PSF3_MOUSE	Gins3
PRS54_MOUSE	Prss54
CC113_MOUSE	Ccdc113
CSK22_MOUSE	Csnk2a2
CFA20_MOUSE	Cfap20
MMP15_MOUSE	Mmp15
USB1_MOUSE	Usb1
ZN319_MOUSE	Znf319
TEPP_MOUSE	Tepp
CNGB3_MOUSE	Cngb3
RL37_MOUSE	Rpl37
KIFC3_MOUSE	Kifc3
KTNB1_MOUSE	Katnb1
DRC7_MOUSE	Drc7
AGRG3_MOUSE	Adgrg3
AGRG1_MOUSE	Adgrg1
C102A_MOUSE	Ccdc102a
DOK4_MOUSE	Dok4
RPB3_MOUSE	Polr2c
COQ9_MOUSE	Coq9
CPIN1_MOUSE	Ciapin1
CCL12_MOUSE	Ccl12
X3CL1_MOUSE	Cx3cl1
CCL22_MOUSE	Ccl22
PLLP_MOUSE	Pllp
RSPRY_MOUSE	Rspry1
PIP30_MOUSE	Fam192a
CPNE2_MOUSE	Cpne2
NLRC5_MOUSE	Nlrc5
LBP_MOUSE	Lbp
HERP1_MOUSE	Herpud1
S12A3_MOUSE	Slc12a3
NUP93_MOUSE	Nup93
TBB2A_MOUSE	Tubb2a
MT1_MOUSE	Mt1
MT4_MOUSE	Mt4
BBS2_MOUSE	Bbs2
OGFD1_MOUSE	Ogfod1
CPSF5_MOUSE	Nudt21
AMFR_MOUSE	Amfr
GNAO_MOUSE	Gnao1
CES1D_MOUSE	Ces1d
SENP2_MOUSE	Senp2
EST1_MOUSE	Ces1
ZN423_MOUSE	Znf423
NCOA5_MOUSE	Ncoa5
HEAT3_MOUSE	Heatr3
PAPD5_MOUSE	Tent4b
ADCY7_MOUSE	Adcy7
BRD7_MOUSE	Brd7
NKD1_MOUSE	Nkd1
SNX20_MOUSE	Snx20
NOD2_MOUSE	Nod2
SALL1_MOUSE	Sall1
TBA1C_MOUSE	Tuba1c
TOX3_MOUSE	Tox3
ZC3H3_MOUSE	Zc3h3
